time,ax,ay,az,atotal
2.975,0.32,-0.98,-2.53,2.73
2.985,0.92,0.52,-2.74,2.94
2.996,-1.62,-1.96,-2.82,3.80
3.005,-2.00,-0.01,-1.13,2.29
3.015,-0.83,1.84,-0.74,2.14
3.025,-1.39,-0.89,0.70,1.80
3.035,-0.05,0.85,2.39,2.53
3.045,0.86,1.87,3.02,3.65
3.055,1.09,1.94,2.79,3.57
3.065,0.58,1.32,2.53,2.91
3.075,0.47,1.05,2.53,2.78
3.085,2.30,2.84,1.52,3.96
3.095,-1.02,-2.98,-0.78,3.25
3.105,-0.29,-1.79,0.07,1.81
3.115,1.37,0.54,-0.94,1.75
3.125,2.16,1.17,-1.39,2.82
3.135,1.68,0.09,-0.53,1.77
3.145,0.40,-1.21,0.09,1.28
3.155,-1.15,-1.85,-0.17,2.18
3.165,-2.64,-2.08,-1.28,3.60
3.175,-3.02,-1.33,-1.12,3.49
3.185,-2.55,-1.59,-1.76,3.48
3.195,-2.08,-2.53,-0.79,3.37
3.205,-1.52,-2.77,0.72,3.24
3.215,-0.89,-2.46,1.25,2.90
3.225,-0.41,-1.19,2.47,2.77
3.235,0.13,0.34,2.97,2.99
3.245,0.76,1.37,1.73,2.33
3.255,1.42,1.50,-0.04,2.06
3.265,1.61,0.49,-1.54,2.28
3.275,1.50,0.13,-2.05,2.54
3.285,1.08,0.02,-1.26,1.66
3.295,0.78,0.21,-1.04,1.32
3.305,0.69,0.70,-0.73,1.22
3.315,0.31,0.86,0.50,1.05
3.325,-0.35,0.65,1.58,1.74
3.335,-0.96,0.00,1.47,1.75
3.345,-1.71,-0.75,1.29,2.27
3.355,-2.18,-1.09,0.17,2.44
3.365,-2.82,-1.88,-1.23,3.60
3.375,-3.13,-2.37,-1.70,4.28
3.385,-2.14,-0.77,-1.77,2.88
3.395,-0.59,1.54,-1.89,2.50
3.405,0.20,2.22,-2.52,3.36
3.415,0.23,2.36,-1.35,2.73
3.425,0.96,2.33,-1.35,2.86
3.435,1.73,0.44,-1.87,2.59
3.445,2.50,-1.26,-2.01,3.44
3.455,2.98,-1.76,-1.52,3.78
3.465,2.73,-1.30,0.16,3.03
3.474,2.47,-0.41,1.90,3.14
3.485,2.13,-0.27,2.57,3.35
3.495,1.32,-0.78,2.21,2.69
3.504,1.11,-1.01,1.58,2.18
3.515,1.18,-1.10,0.03,1.61
3.525,0.86,-0.60,0.14,1.06
3.535,0.87,0.11,-0.63,1.08
3.545,-0.07,1.74,-0.32,1.77
3.555,-0.76,3.27,-1.58,3.71
3.565,-0.48,2.96,-3.92,4.93
3.574,-0.02,1.89,-3.45,3.93
3.585,0.54,0.55,-1.67,1.83
3.594,0.62,-0.59,-0.29,0.90
3.605,0.21,-0.72,1.28,1.48
3.615,0.35,-1.11,1.35,1.78
3.624,0.18,-1.59,0.96,1.87
3.634,0.37,-1.81,-0.11,1.85
3.644,0.88,-1.85,-0.10,2.05
3.654,-0.69,-1.24,3.56,3.83
3.664,-2.07,-1.91,4.36,5.19
3.674,-1.28,-2.67,3.27,4.41
3.684,-0.79,-2.66,2.56,3.78
3.695,-0.78,-2.50,1.02,2.81
3.704,-0.37,-0.68,-0.32,0.84
3.714,-0.51,-0.53,-0.15,0.75
3.724,-0.05,-1.40,-0.05,1.40
3.734,-0.01,-1.69,0.13,1.69
3.744,-0.61,-2.32,0.49,2.45
3.754,-0.76,-2.28,-0.09,2.41
3.764,0.14,-0.49,-1.94,2.01
3.774,1.06,2.68,-3.25,4.34
3.784,1.05,3.83,-3.93,5.59
3.794,0.21,3.72,-2.21,4.33
3.804,-0.07,2.11,0.59,2.19
3.814,0.23,0.09,2.51,2.52
3.824,0.53,0.92,2.23,2.47
3.834,0.92,0.57,0.60,1.24
3.844,1.02,-0.89,0.08,1.36
3.854,0.73,-0.59,0.00,0.94
3.864,0.15,0.29,-0.79,0.85
